entry_id,violent_external,permanent_scarring,year_scaled,world_region,tip_name
1340,0,0,0.7793758660430559,Europe,IE.GERMANIC.ENGLISH
1344,0,0,0.6704344913068606,East Asia,ST.BODIC.TIBETAN_WRITTEN
1348,1,0,0.8305876233976777,Southwest Asia,AA.SEMITIC.PALESTINIAN_ARABIC
1349,1,0,0.0037505228357851,Central Eurasia,ST.CHINESE.XIANG
1352,0,0,-1.040969327198498,South Asia,IE.INDIC.SANSKRIT
1369,0,0,-1.7411737186653258,Southwest Asia,AA.SEMITIC.AKKADIAN
1370,1,1,0.7588911631012072,Africa,Sah.WESTERN_SAHARAN.TEDAGA
1371,1,1,0.7998605689849047,Southwest Asia,IE.IRANIAN.PERSIAN
1374,1,0,0.4097200902287864,Europe,IE.ROMANCE.LATIN
1376,0,0,0.7263018629664479,Africa,IE.GERMANIC.ENGLISH
1386,0,0,0.6397074368940876,East Asia,ST.CHINESE.MANDARIN
1390,1,0,0.6844013342217574,North America,NDe.ATHAPASKAN.LIPAN
1392,0,0,-0.7076273429629601,Southwest Asia,AA.SEMITIC.CLASSICAL_SYRIAC
1396,0,0,-1.3258929226623932,Africa,IE.GREEK.GREEK_ANCIENT
1400,1,0,-0.7634947146225475,East Asia,ST.CHINESE.MIDDLE_CHINESE
1409,0,1,-2.439515864410167,North America,MZ.MIXE_ZOQUE.LOWLAND_MIXE
1412,0,0,0.6685722455848744,Central Eurasia,Jap.JAPANESE.JAPANESE
1415,1,0,-0.7169385715728913,Europe,IE.GREEK.GREEK_ANCIENT
1419,1,0,-2.4860720074598235,Africa,AA.EGYPTIAN_COPTIC.MIDDLE_EGYPTIAN
1420,1,0,0.6192227339522389,North America,Mus.MUSKOGEAN.CREEK
1426,1,0,0.4283425474486488,East Asia,ST.CHINESE.MANDARIN
1433,0,0,-0.8100508576722035,Europe,IE.ROMANCE.LATIN
1434,1,1,0.7374753372983655,South America,Chi.KUNA.CUNA
1436,0,0,-0.744872257402685,Southwest Asia,IE.GREEK.GREEK_ANCIENT
1441,1,1,0.1909062178954027,North America,UA.AZTECAN.CLASSICAL_NAHUATL
1450,1,1,0.6844013342217574,South America,Chn.CHON_PROPER.TEHUELCHE
1454,0,0,0.2020796922273202,Europe,IE.GREEK.GREEK_ANCIENT
1468,0,0,-0.7402166430977194,Europe,IE.GREEK.GREEK_ANCIENT
1492,1,1,0.749579934491276,South America,Nam.NAMBIKUARAN.NAMBIKWARA
1495,0,0,0.8166207804827808,Europe,IE.GERMANIC.ENGLISH
1511,1,0,0.6369140683111082,Africa,AA.WEST_CHADIC.HAUSA
1517,0,0,0.7598222859622004,Africa,AA.SEMITIC.TUNISIAN_ARABIC_MAGHRIB
1521,0,0,0.1266587404868773,Europe,IE.ROMANCE.LATIN
1522,1,0,0.6154982425082665,Africa,AA.SEMITIC.ARABIC_QURANIC
1544,1,0,0.4432405132245388,Europe,IE.SLAVIC.UKRAINIAN
1555,1,0,0.7914804632359665,Southwest Asia,AA.SEMITIC.ARABIC_QURANIC
1570,0,0,0.7263018629664479,South Asia,Dra.SOUTHERN_DRAVIDIAN.TAMIL
1574,0,0,-2.9050772949067283,Southwest Asia,AA.SEMITIC.AKKADIAN
1619,1,0,0.0745158602712624,Europe,IE.GREEK.GREEK
1621,1,0,0.5400772907678235,Europe,IE.GREEK.GREEK
1624,0,0,-1.880842147814294,Southwest Asia,AA.SEMITIC.AKKADIAN
1626,0,0,-1.7877298617149815,Europe,IE.GREEK.GREEK_ANCIENT
1627,0,0,0.7989294461239115,North America,ST.CHINESE.MANDARIN
1636,0,0,-0.2848975640720826,Europe,IE.GREEK.GREEK_ANCIENT
1653,1,0,-0.7253186773218294,Europe,IE.GERMANIC.GOTHIC
1654,1,0,0.8017228147068909,Africa,AA.SEMITIC.TUNISIAN_ARABIC_MAGHRIB
1667,0,0,0.6797457199167919,Africa,IE.ROMANCE.FRENCH
1677,1,0,-2.579184293559136,Southwest Asia,IE.ANATOLIAN.HITTITE
1689,0,0,0.368750684345089,Southwest Asia,AA.SEMITIC.SYRIAN_ARABIC
1690,1,0,-0.2578950011032821,Europe,IE.GREEK.GREEK_ANCIENT
1694,1,0,-0.0614280774337333,Europe,IE.GREEK.GREEK_ANCIENT
1697,1,1,-0.6238262854735791,Europe,IE.GREEK.GREEK_ANCIENT
1701,1,0,2.6031391812687267e-05,Europe,IE.ROMANCE.FRENCH
1708,1,0,-0.3835965873373536,Southwest Asia,AA.SEMITIC.ARABIC_GULF_SPOKEN
1737,1,0,-0.4273593618040304,Southwest Asia,IE.IRANIAN.EASTERN_FARSI
1759,0,0,0.0698602459662968,Africa,AA.SEMITIC.STANDARD_ARABIC
1776,0,0,0.7086105286075787,Africa,AA.SEMITIC.TUNISIAN_ARABIC_MAGHRIB
1777,0,0,0.7086105286075787,Africa,AA.SEMITIC.TUNISIAN_ARABIC_MAGHRIB
1780,0,0,0.7086105286075787,Africa,AA.SEMITIC.TUNISIAN_ARABIC_MAGHRIB
1781,0,0,0.7905493403749734,Africa,AA.SEMITIC.TUNISIAN_ARABIC_MAGHRIB
1791,1,0,-0.0185964258280497,Southwest Asia,AA.SEMITIC.IRAQ_MUSLIM_BAGHDAD_ARABIC
1820,0,0,0.8007916918458977,Africa,IE.GERMANIC.ENGLISH
1829,0,0,0.8063784290118564,Africa,IE.GERMANIC.ENGLISH
1835,0,0,0.7709957602941178,Africa,IE.GERMANIC.ENGLISH
1845,0,0,-0.0949485004294857,Europe,IE.GERMANIC.DANISH
1869,0,0,0.7542355487962417,Africa,NC.DEFOID.YORUBA
1872,0,0,0.7700646374331247,Africa,NC.DEFOID.YORUBA
1897,0,0,0.7737891288770972,Africa,NC.DEFOID.YORUBA
1903,1,1,-0.3444894271756425,Southwest Asia,AA.SEMITIC.SYRIAN_ARABIC
1904,1,0,0.6331895768671357,Africa,AA.SEMITIC.TUNISIAN_ARABIC_MAGHRIB
1908,1,0,-0.0185964258280497,East Asia,Jap.JAPANESE.JAPANESE
1938,0,0,0.6797457199167919,Southwest Asia,IE.IRANIAN.PERSIAN
1940,0,0,0.7728580060161041,Africa,NC.DEFOID.YORUBA
1943,0,0,0.810102920455829,South America,IE.ROMANCE.SPANISH
1961,0,0,0.810102920455829,Africa,NC.DEFOID.YORUBA
1966,0,0,0.7933427089579528,Africa,NC.DEFOID.YORUBA
1972,0,0,0.7914804632359665,North America,IE.GERMANIC.ENGLISH
1974,0,0,0.8091717975948358,Africa,NC.DEFOID.YORUBA
1978,0,0,0.7868248489310009,East Asia,ST.CHINESE.CANTONESE
1983,0,0,-0.6703824285232353,Southwest Asia,IE.GREEK.GREEK_ANCIENT
1985,0,0,-1.011173395646718,Southwest Asia,IE.GREEK.GREEK_ANCIENT
1989,1,0,-1.6015052895163573,Europe,IE.ROMANCE.LATIN
1993,1,0,-1.6015052895163573,Europe,IE.GREEK.GREEK_ANCIENT
1994,0,0,0.7896182175139802,Africa,IE.GERMANIC.ENGLISH
2000,0,0,0.757028917379221,Africa,NC.DEFOID.YORUBA
2003,1,0,0.7393375830203517,Africa,IE.GERMANIC.ENGLISH
2006,0,0,0.7933427089579528,Africa,NC.DEFOID.YORUBA
2009,1,0,-1.7877298617149815,Europe,IE.GREEK.GREEK_ANCIENT
2010,1,0,0.1117607747109873,Europe,Alt.TURKIC.TURKISH
2011,0,0,0.7123350200515511,Africa,IE.GERMANIC.ENGLISH
2016,1,0,-0.1964408922777361,Southwest Asia,AA.SEMITIC.CLASSICAL_ARABIC
2021,1,0,0.7309574772714136,Africa,IE.GERMANIC.ENGLISH
2023,1,0,-0.1387112748961625,Africa,AA.SEMITIC.CLASSICAL_ARABIC
2038,1,0,-0.1117087119273619,Europe,IE.ROMANCE.LATIN
2048,1,0,-0.3193491099288282,Africa,AA.SEMITIC.CLASSICAL_ARABIC
