ID,Name,Glottocode,Glottolog_Name,Family,classification_wals,classification_ethnologue,classification_glottolog
AEKA,AEKA,aeka1244,Aeka,Nuclear Trans New Guinea,TNG.BINANDEREAN,"Trans-NewGuinea,GreaterBinanderean,Binanderean,NuclearBinanderean,SouthBinanderean,Orokaivan","NuclearTransNewGuinea,GreaterBinanderean,Binanderean,NuclearBinanderean,SouthBinanderean,Orokaivic"
AEKA_2,AEKA_2,aeka1244,Aeka,Nuclear Trans New Guinea,TNG.BINANDEREAN,"Trans-NewGuinea,GreaterBinanderean,Binanderean,NuclearBinanderean,SouthBinanderean,Orokaivan","NuclearTransNewGuinea,GreaterBinanderean,Binanderean,NuclearBinanderean,SouthBinanderean,Orokaivic"
AEKA_3,AEKA_3,aeka1244,Aeka,Nuclear Trans New Guinea,TNG.BINANDEREAN,"Trans-NewGuinea,GreaterBinanderean,Binanderean,NuclearBinanderean,SouthBinanderean,Orokaivan","NuclearTransNewGuinea,GreaterBinanderean,Binanderean,NuclearBinanderean,SouthBinanderean,Orokaivic"
AEKYOM,AEKYOM,aeky1238,Aekyom,Kamula-Elevala,KE.ELEVALA,"Trans-NewGuinea,Awin-Pare","Kamula-Elevala,Elevala"
AEKYOM_2,AEKYOM_2,aeky1238,Aekyom,Kamula-Elevala,KE.ELEVALA,"Trans-NewGuinea,Awin-Pare","Kamula-Elevala,Elevala"
AFADE,AFADE,afad1236,Afade,Afro-Asiatic,AA.BIU-MANDARA,"Afro-Asiatic,Chadic,Biu-Mandara,B,B.1,KotokoProper,North","Afro-Asiatic,Chadic,Biu-Mandara,NorthBiu-Mandara,Kotoko-Buduma,KotokoSeptentrional,KotokoSeptentrional1"
AFADE_2,AFADE_2,afad1236,Afade,Afro-Asiatic,AA.BIU-MANDARA,"Afro-Asiatic,Chadic,Biu-Mandara,B,B.1,KotokoProper,North","Afro-Asiatic,Chadic,Biu-Mandara,NorthBiu-Mandara,Kotoko-Buduma,KotokoSeptentrional,KotokoSeptentrional1"
AFAR,AFAR,afar1241,Afar,Afro-Asiatic,AA.LOWLAND_EAST_CUSHITIC,"Afro-Asiatic,Cushitic,East,Saho-Afar","Afro-Asiatic,Cushitic,EastCushitic,LowlandEastCushitic,Saho-Afar"
AFAR_2,AFAR_2,afar1241,Afar,Afro-Asiatic,AA.LOWLAND_EAST_CUSHITIC,"Afro-Asiatic,Cushitic,East,Saho-Afar","Afro-Asiatic,Cushitic,EastCushitic,LowlandEastCushitic,Saho-Afar"
AFAR_3,AFAR_3,afar1241,Afar,Afro-Asiatic,AA.LOWLAND_EAST_CUSHITIC,"Afro-Asiatic,Cushitic,East,Saho-Afar","Afro-Asiatic,Cushitic,EastCushitic,LowlandEastCushitic,Saho-Afar"
AFITTI,AFITTI,afit1238,Afitti,Nyimang,ESu.NYIMANG,"Nilo-Saharan,Satellite-Core,Core,EasternSudanic,Northern(klanguages),Nyimang",Nyimang
AFI_AMANDA,AFI_AMANDA,batu1255,Batu,Atlantic-Congo,NC.TIVOID,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,Tivoid","Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,Tivoid,NorthTivoid"
AFRIKAANS,AFRIKAANS,afri1274,Afrikaans,Indo-European,IE.GERMANIC,"Indo-European,Germanic,West,LowSaxon-LowFranconian,LowFranconian","Indo-European,ClassicalIndo-European,Germanic,NorthwestGermanic,WestGermanic,Macro-Dutch,Middle-ModernDutch,ModernDutch,GlobalDutch,Afrikaansic"
AGALA,AGALA,femb1238,Fembe,East Strickland,TNG.EastStrickland,"Trans-NewGuinea,EastStrickland",EastStrickland
AGARABI,AGARABI,agar1252,Agarabi,Nuclear Trans New Guinea,TNG.GAUWA,"Trans-NewGuinea,Kainantu-Goroka,Kainantu,Gadsup-Auyana-Awa","NuclearTransNewGuinea,Kainantu-Goroka,Kainantu,Gauwa,Gadsup-Agarabi"
