entry_id,entrytag_name,entrytag_level,ID,Glottocode,tip_name
817,Old English (ca. 450-1100),10,OLD_ENGLISH,olde1238,IE.GERMANIC.OLD_ENGLISH
818,Sanskrit,6,SANSKRIT,sans1269,IE.INDIC.SANSKRIT
819,Hindi,13,HINDI,hind1269,IE.INDIC.HINDI
826,German,13,STANDARD_GERMAN,stan1295,IE.GERMANIC.STANDARD_GERMAN
828,Sicilian,12,SICILIAN_UnnamedInSource,sici1248,IE.ROMANCE.SICILIAN_UnnamedInSource
833,Dobu,12,DOBU,dobu1241,An.OCEANIC.DOBU
834,Vietnamese,5,VIETNAMESE_2,viet1252,AuA.VIET_MUONG.VIETNAMESE_2
839,German,13,STANDARD_GERMAN,stan1295,IE.GERMANIC.STANDARD_GERMAN
841,Tibetan,9,TIBETAN_WRITTEN,tibe1272,ST.BODIC.TIBETAN_WRITTEN
842,English,13,ENGLISH,stan1293,IE.GERMANIC.ENGLISH
843,Assyrian Neo-Aramaic,13,JILU,assy1241,AA.SEMITIC.JILU
846,Middle Chinese,6,MIDDLE_CHINESE,midd1344,ST.CHINESE.MIDDLE_CHINESE
848,Jewish Babylonian Aramaic (ca. 200-1200 CE),13,ACHAEMENID_ARAMAIC,jewi1240,AA.SEMITIC.ACHAEMENID_ARAMAIC
849,Seneca,4,SENECA,sene1264,Iro.NORTHERN_IROQUOIAN.SENECA
851,English,13,ENGLISH,stan1293,IE.GERMANIC.ENGLISH
852,Early Irish,9,OLD_IRISH,oldi1245,IE.CELTIC.OLD_IRISH
854,Early Irish,9,OLD_IRISH,oldi1245,IE.CELTIC.OLD_IRISH
857,Spanish,15,SPANISH,stan1288,IE.ROMANCE.SPANISH
858,Classical Syriac,11,CLASSICAL_SYRIAC,clas1252,AA.SEMITIC.CLASSICAL_SYRIAC
859,Jewish Babylonian Aramaic (ca. 200-1200 CE),13,ACHAEMENID_ARAMAIC,jewi1240,AA.SEMITIC.ACHAEMENID_ARAMAIC
860,Kinshasa Lingala,18,C36d_LINGALA_2,ling1263,NC.BANTOID.C36d_LINGALA_2
862,English,13,ENGLISH,stan1293,IE.GERMANIC.ENGLISH
863,Jewish Babylonian Aramaic (ca. 200-1200 CE),13,ACHAEMENID_ARAMAIC,jewi1240,AA.SEMITIC.ACHAEMENID_ARAMAIC
867,Tibetan,9,TIBETAN_WRITTEN,tibe1272,ST.BODIC.TIBETAN_WRITTEN
871,English,13,ENGLISH,stan1293,IE.GERMANIC.ENGLISH
873,English,13,ENGLISH,stan1293,IE.GERMANIC.ENGLISH
877,Thai,12,TAI,thai1261,TK.KAM_TAI.TAI
880,Tunisian Arabic,10,TUNISIAN_ARABIC_MAGHRIB,tuni1259,AA.SEMITIC.TUNISIAN_ARABIC_MAGHRIB
882,Jewish Babylonian Aramaic (ca. 200-1200 CE),13,ACHAEMENID_ARAMAIC,jewi1240,AA.SEMITIC.ACHAEMENID_ARAMAIC
883,Mandarin Chinese,8,MANDARIN_2,mand1415,ST.CHINESE.MANDARIN_2
885,Fon,8,FONGBE,fonn1241,NC.KWA.FONGBE
886,English,13,ENGLISH,stan1293,IE.GERMANIC.ENGLISH
888,Early Irish,9,OLD_IRISH,oldi1245,IE.CELTIC.OLD_IRISH
891,Spanish,15,SPANISH,stan1288,IE.ROMANCE.SPANISH
892,English,13,ENGLISH,stan1293,IE.GERMANIC.ENGLISH
893,Coptic,4,COPTIC,copt1239,AA.EGYPTIAN_COPTIC.COPTIC
894,English,13,ENGLISH,stan1293,IE.GERMANIC.ENGLISH
897,Korean,3,KOREAN,kore1280,Kor.KOREAN.KOREAN
899,Javanese,6,YOGYAKARTA,java1254,An.JAVANESE.YOGYAKARTA
900,Jewish Babylonian Aramaic (ca. 200-1200 CE),13,ACHAEMENID_ARAMAIC,jewi1240,AA.SEMITIC.ACHAEMENID_ARAMAIC
902,English,13,ENGLISH,stan1293,IE.GERMANIC.ENGLISH
903,Middle Chinese,6,MIDDLE_CHINESE,midd1344,ST.CHINESE.MIDDLE_CHINESE
906,English,13,ENGLISH,stan1293,IE.GERMANIC.ENGLISH
910,Portuguese,17,PORTUGUESE,port1283,IE.ROMANCE.PORTUGUESE
911,Italian,12,ITALIAN,ital1282,IE.ROMANCE.ITALIAN
914,Spanish,15,SPANISH,stan1288,IE.ROMANCE.SPANISH
915,English,13,ENGLISH,stan1293,IE.GERMANIC.ENGLISH
