glottolog_name,Glottocode,asjp_id,tip_name
,,CAMBERRA_LANGUAGE,Aus.PAMA_NYUNGAN.CAMBERRA_LANGUAGE
,,GUYAMBAL,Aus.PAMA_NYUNGAN.GUYAMBAL
,,BIGAMBAL,Aus.PAMA_NYUNGAN.BIGAMBAL
,,YUGAMBAL,Aus.PAMA_NYUNGAN.YUGAMBAL
Madhi Madhi,madh1244,MADIMADI,Aus.PAMA_NYUNGAN.MADIMADI
Madhi Madhi,madh1244,MADHI_MADHI,Aus.PAMA_NYUNGAN.MADHI_MADHI
,,DJADJALA,Aus.PAMA_NYUNGAN.DJADJALA
Wemba Wemba,wemb1241,WEMBA_WEMBA,Aus.PAMA_NYUNGAN.WEMBA_WEMBA
Wemba Wemba,wemb1241,WEMBAWEMBA,Aus.PAMA_NYUNGAN.WEMBAWEMBA
,,BIRRDHAWAL,Aus.PAMA_NYUNGAN.BIRRDHAWAL
Yorta Yorta,yort1237,YORTA_YORTA,Aus.PAMA_NYUNGAN.YORTA_YORTA
,,DHUDHUROA,Aus.PAMA_NYUNGAN.DHUDHUROA
Pallanganmiddang,pall1243,PALLANGANMIDDANG,Aus.PAMA_NYUNGAN.PALLANGANMIDDANG
Bunganditj,bung1264,BUNGANDITJ,Aus.PAMA_NYUNGAN.BUNGANDITJ
Warrnambool,warr1257,WARRNAMBOOL,Aus.PAMA_NYUNGAN.WARRNAMBOOL
,,COLAC,Aus.PAMA_NYUNGAN.COLAC
Wathawurrung,wath1238,WATHAWURRUNG,Aus.PAMA_NYUNGAN.WATHAWURRUNG
Woiwurrung-Thagungwurrung,woiw1237,WOIWURRUNG,Aus.PAMA_NYUNGAN.WOIWURRUNG
Kumbainggar,kumb1268,GUMBAYNGGIR,Aus.PAMA_NYUNGAN.GUMBAYNGGIR
Yaygir,yayg1236,YAYGIR,Aus.PAMA_NYUNGAN.YAYGIR
Gureng Gureng,gure1255,GURENG_GURENG,Aus.PAMA_NYUNGAN.GURENG_GURENG
Wakawaka,waka1274,DUUNGIDJAWU,Aus.PAMA_NYUNGAN.DUUNGIDJAWU
Wuliwuli,wuli1242,WULIWULI,Aus.PAMA_NYUNGAN.WULIWULI
Ngiyambaa,wang1291,WANGAAYBUWAN_NGIYAMBAA,Aus.PAMA_NYUNGAN.WANGAAYBUWAN_NGIYAMBAA
Yuwaalaraay-Gamilaraay,gami1243,GAMILARAAY,Aus.PAMA_NYUNGAN.GAMILARAAY
Wiradhuri,wira1262,WIRADHURI,Aus.PAMA_NYUNGAN.WIRADHURI
,,BARRANBIYA,Aus.PAMA_NYUNGAN.BARRANBIYA
Muruwari,muru1266,MURUWARI,Aus.PAMA_NYUNGAN.MURUWARI
Condamine-Upper Clarence Bandjalang,cond1242,GIDABAL,Aus.PAMA_NYUNGAN.GIDABAL
Middle Clarence Bandjalang,midd1357,WAALUBAL,Aus.PAMA_NYUNGAN.WAALUBAL
Dhurga,dhur1239,DHURGA,Aus.PAMA_NYUNGAN.DHURGA
Thurawal,thur1254,THURAWAL,Aus.PAMA_NYUNGAN.THURAWAL
Sydney,sydn1236,SYDNEY,Aus.PAMA_NYUNGAN.SYDNEY
Awabakal,awab1243,AWABAKAL,Aus.PAMA_NYUNGAN.AWABAKAL
Worimi,wori1245,WORIMI,Aus.PAMA_NYUNGAN.WORIMI
,,KERAMIN,Aus.PAMA_NYUNGAN.KERAMIN
,,YITHA_YITHA,Aus.PAMA_NYUNGAN.YITHA_YITHA
Kalkatungu,kalk1246,KALKUTUNG,Aus.PAMA_NYUNGAN.KALKUTUNG
Yalarnnga,yala1262,YALARNNGA,Aus.PAMA_NYUNGAN.YALARNNGA
Mayaguduna,maya1280,MAYAGUDUNA,Aus.PAMA_NYUNGAN.MAYAGUDUNA
Mayi-Kulan,mayi1236,MAYKULAN,Aus.PAMA_NYUNGAN.MAYKULAN
Ngawun,ngaw1240,NGAWUN,Aus.PAMA_NYUNGAN.NGAWUN
Mayi-Yapi,mayi1235,MAYI_YAPI,Aus.PAMA_NYUNGAN.MAYI_YAPI
Mayi-Thakurti,mayi1234,MAYI_THAKURTI,Aus.PAMA_NYUNGAN.MAYI_THAKURTI
Mbabaram,mbab1239,MBABARAM,Aus.PAMA_NYUNGAN.MBABARAM
Kanju,kanj1260,KANJU,Aus.PAMA_NYUNGAN.KANJU
Kuuku-Ya'u,kuuk1238,KUUKU_YAU,Aus.PAMA_NYUNGAN.KUUKU_YAU
Wik-Mungkan,wikm1247,WIK_MUNGKAN,Aus.PAMA_NYUNGAN.WIK_MUNGKAN
Kuku-Uwanh,kuku1280,KUKU_UWANH,Aus.PAMA_NYUNGAN.KUKU_UWANH
,,YIR_YORONT,Aus.PAMA_NYUNGAN.YIR_YORONT
Thayore,thay1249,THAYORE,Aus.PAMA_NYUNGAN.THAYORE
Kunjen,kunj1245,KUNJEN,Aus.PAMA_NYUNGAN.KUNJEN
Aghu Tharnggalu,aghu1254,AGHU_THARRNGGALA,Aus.PAMA_NYUNGAN.AGHU_THARRNGGALA
Linngithigh,leni1238,LENINGITIJ,Aus.PAMA_NYUNGAN.LENINGITIJ
Linngithigh,leni1238,LINNGITHIGH,Aus.PAMA_NYUNGAN.LINNGITHIGH
Linngithigh,leni1238,MPAKWITHI_ANGUTHIMRI,Aus.PAMA_NYUNGAN.MPAKWITHI_ANGUTHIMRI
Umbuygamu,umbu1256,UMBUYKAMU,Aus.PAMA_NYUNGAN.UMBUYKAMU
Rimanggudhinma,mbar1253,PARIMANKUTINMA,Aus.PAMA_NYUNGAN.PARIMANKUTINMA
Lamalama,lamu1254,LAMALAMA_COASTAL,Aus.PAMA_NYUNGAN.LAMALAMA_COASTAL
Lamalama,lamu1254,LAMALAMA_INLAND,Aus.PAMA_NYUNGAN.LAMALAMA_INLAND
Malyangapa,maly1234,MALYANGAPA,Aus.PAMA_NYUNGAN.MALYANGAPA
Paakantyi,darl1243,DARLING,Aus.PAMA_NYUNGAN.DARLING
Badjirri,badj1244,BADJIRRI,Aus.PAMA_NYUNGAN.BADJIRRI
Punthamara,punt1240,PUNTHAMARA,Aus.PAMA_NYUNGAN.PUNTHAMARA
Pitta Pitta,pitt1247,PITTA_PITTA,Aus.PAMA_NYUNGAN.PITTA_PITTA
Arabana,arab1267,ARABANA,Aus.PAMA_NYUNGAN.ARABANA
Wangganguru,wang1290,WANGGANGURU,Aus.PAMA_NYUNGAN.WANGGANGURU
Yandruwandha,yand1253,YANDRUWANDHA,Aus.PAMA_NYUNGAN.YANDRUWANDHA
Dieri,dier1241,DIYARI,Aus.PAMA_NYUNGAN.DIYARI
Ngamini-Yarluyandi-Karangura,ngam1265,NGAMINI,Aus.PAMA_NYUNGAN.NGAMINI
Kokata,koka1244,KOKATA,Aus.PAMA_NYUNGAN.KOKATA
Martu Wangka,mart1256,MARTU_WANGKA,Aus.PAMA_NYUNGAN.MARTU_WANGKA
Martu Wangka,mart1256,MANTJILTJARA,Aus.PAMA_NYUNGAN.MANTJILTJARA
Martu Wangka,mart1256,YULPARIJA,Aus.PAMA_NYUNGAN.YULPARIJA
Pintupi-Luritja,pint1250,PINTUPI,Aus.PAMA_NYUNGAN.PINTUPI
Ngaanyatjarra,ngaa1240,NGAANYATJARRA,Aus.PAMA_NYUNGAN.NGAANYATJARRA
Pitjantjatjara,pitj1243,WANGKA_WIRU,Aus.PAMA_NYUNGAN.WANGKA_WIRU
Yankunytjatjara,yank1247,PITJANTJATJARA_YANKUNTJATJARA,Aus.PAMA_NYUNGAN.PITJANTJATJARA_YANKUNTJATJARA
Karadjeri,kara1476,KARADJERI,Aus.PAMA_NYUNGAN.KARADJERI
Nyangumarta,nyan1301,NYANGUMARTA,Aus.PAMA_NYUNGAN.NYANGUMARTA
Warumungu,waru1265,WARUMUNGU,Aus.PAMA_NYUNGAN.WARUMUNGU
Warlpiri,warl1254,WARLPIRI,Aus.PAMA_NYUNGAN.WARLPIRI
Walmajarri-Juwaliny,walm1241,WALMAJARRI,Aus.PAMA_NYUNGAN.WALMAJARRI
Jaru,jaru1254,JARU,Aus.PAMA_NYUNGAN.JARU
Gurindji,guri1247,GURINDJI,Aus.PAMA_NYUNGAN.GURINDJI
Ngarinman,ngar1235,NGARINMAN_BILINARA,Aus.PAMA_NYUNGAN.NGARINMAN_BILINARA
Nhanda,nhan1238,NHANDA,Aus.PAMA_NYUNGAN.NHANDA
Badimaya,badi1246,BADIMAYA,Aus.PAMA_NYUNGAN.BADIMAYA
Wajarri,waja1257,WAJARRI,Aus.PAMA_NYUNGAN.WAJARRI
