tip_name,asjp_id,glottocode,glottolog_name
Aus.PAMA_NYUNGAN.MARTUTHUNIRA,MARTUTHUNIRA,mart1255,Martuthunira
Aus.PAMA_NYUNGAN.PANYTYIMA,PANYTYIMA,pany1241,Panytyima
Aus.PAMA_NYUNGAN.NGALOOMA,NGALOOMA,ngar1287,Ngarluma
Aus.PAMA_NYUNGAN.KURRAMA,KURRAMA,kurr1243,Kurrama
Aus.PAMA_NYUNGAN.YINDJIBARNDI,YINDJIBARNDI,yind1247,Yindjibarndi
Aus.PAMA_NYUNGAN.WIRANGU,WIRANGU,wira1265,Wirangu
Aus.PAMA_NYUNGAN.KAURNA,KAURNA,kaur1267,Kaurna
Aus.PAMA_NYUNGAN.NARUNGGA,NARUNGGA,naru1238,Narungga
Aus.PAMA_NYUNGAN.NUGUNU_AUSTRALIA,NUGUNU_AUSTRALIA,nugu1241,Nugunu (Australia)
Aus.PAMA_NYUNGAN.ADNYAMATHANHA,ADNYAMATHANHA,adny1235,Adnyamathanha
Aus.PAMA_NYUNGAN.BANGGARLA,BANGGARLA,bang1339,Banggarla
Aus.PAMA_NYUNGAN.KAYTETYE,KAYTETYE,kayt1238,Kaytetye
Aus.PAMA_NYUNGAN.KAYTETYE_2,KAYTETYE_2,kayt1238,Kaytetye
Aus.PAMA_NYUNGAN.WESTERN_ARRERNTE,WESTERN_ARRERNTE,west2441,Western Arrarnta
Aus.PAMA_NYUNGAN.ARRERNTE_CENTRAL,ARRERNTE_CENTRAL,east2379,Eastern Arrernte
Aus.PAMA_NYUNGAN.ARRERNTE_EASTERN,ARRERNTE_EASTERN,east2379,Eastern Arrernte
Aus.PAMA_NYUNGAN.LOWER_ARANDA,LOWER_ARANDA,west2441,Western Arrarnta
Aus.PAMA_NYUNGAN.ARRARNTA_WESTERN,ARRARNTA_WESTERN,west2441,Western Arrarnta
Aus.PAMA_NYUNGAN.SOUTHERN_ARANDA,SOUTHERN_ARANDA,west2441,Western Arrarnta
Aus.PAMA_NYUNGAN.ARRERNTE_EASTERN_2,ARRERNTE_EASTERN_2,east2379,Eastern Arrernte
Aus.PAMA_NYUNGAN.ANMATYERRE,ANMATYERRE,anma1239,Anmatyerre
Aus.PAMA_NYUNGAN.AKARA,AKARA,east2379,Eastern Arrernte
Aus.PAMA_NYUNGAN.ARANDA,ARANDA,east2379,Eastern Arrernte
Aus.PAMA_NYUNGAN.ALYAWARRA,ALYAWARRA,alya1239,Alyawarr
