entry_id,violent_external,food_taboos,year_scaled,world_region,tip_name,ID,Glottocode
1279,1,1,0.3972989193227293,Southeast Asia,An.SOUTH_SULAWESI.MANDAR,MANDAR,mand1442
1281,1,1,0.6910344128310603,Africa,Krd.HEIBAN.UTORO,UTORO,otor1240
1283,1,1,0.3111241530884241,Southeast Asia,An.CELEBIC.WOLIO,WOLIO,woli1241
1289,1,1,0.3111241530884241,Southeast Asia,An.SOUTH_SULAWESI.SOPPENG_BUGINESE,SOPPENG_BUGINESE,bugi1244
1295,1,0,-0.7906156001652206,Africa,IE.ROMANCE.LATIN,LATIN,lati1261
1300,1,0,0.7651632440003551,North America,IE.ROMANCE.SPANISH,SPANISH,stan1288
1303,0,0,-2.3760459767985145,Southwest Asia,AA.SEMITIC.AKKADIAN,AKKADIAN,akka1240
1304,0,0,0.6586030491944938,North America,IE.GERMANIC.ENGLISH,ENGLISH,stan1293
1307,0,0,0.6308047375060082,North America,IE.GERMANIC.ENGLISH,ENGLISH,stan1293
1333,0,0,-0.9397998728934264,Europe,AA.SEMITIC.SYRIAC_2,SYRIAC_2,clas1252
1335,0,0,0.380619932309638,Europe,IE.ROMANCE.LATIN,LATIN,lati1261
1340,0,1,0.7345851011430209,Europe,IE.ROMANCE.FRENCH,FRENCH,stan1290
1344,0,0,0.6261716855579272,East Asia,ST.BODIC.LHASA_TIBETAN,LHASA_TIBETAN,tibe1272
1348,1,0,0.7855486725719112,Southwest Asia,AA.SEMITIC.HEBREW,HEBREW,hebr1245
1352,0,0,-1.076938210556622,South Asia,IE.INDIC.SANSKRIT,SANSKRIT,sans1269
1370,1,1,0.7141996725714649,Africa,IE.ROMANCE.FRENCH,FRENCH,stan1290
1371,1,1,0.754970529714577,Southwest Asia,IE.IRANIAN.PERSIAN,PERSIAN,west2369
1374,1,0,0.3667207764653952,Europe,IE.ROMANCE.FRENCH,FRENCH,stan1290
1376,0,1,0.6817683089348984,Africa,NC.BANTOID.SOTHO_SUD,SOTHO_SUD,sout2807
