entry_id,entry_name,year_from,year_to,region_id,world_region
791,Upper Egypt: Third Intermediate Period,-1069,-664,983,Africa
792,Upper Egypt: Late Period,-664,-332,983,Africa
793,Upper Egypt: Alexander and the Ptolemies,-332,-30,983,Africa
794,Omaha,1840,1880,986,North America
795,"Micronesia, Guam, Commonwealth of the Northern Mariana Islands; the Fed. States of Micronesia (Yap, Chuuk, Pohnpei, Kosrae); Palau, Marshals",1700,1945,570,Oceania-Australia
799,Upper Egypt: Roman Egypt,-30,390,983,Africa
801,"Wat Preah Vihear Sour: A Popular Pilgrimage Site outside Phnom Penh, Cambodia",1000,2020,990,Southeast Asia
802,Chinese Nunnery in Myanmar,1945,2020,450,Southeast Asia
803,Italy: The Catholic Church,1530,1760,991,Europe
804,Italy: The Catholic Church,1760,1870,991,Europe
805,Italy: The Catholic Church,1870,1920,991,Europe
806,Italy: The Catholic Church,1929,2017,991,Europe
807,British Isles I: Pre-Roman Britain,-500,-43,992,Europe
808,British Isles II: Pre-Theodosian Roman Britain,-43,380,992,Europe
809,British Isles III: Pre-Theodosian Roman Britain Continued,-43,380,992,Europe
810,British Isles IV: Pre-Theodosian Roman Britain Continued,-43,380,992,Europe
811,British Isles V: Christian Roman Britain,380,500,992,Europe
812,Temple of the Jedi Order,2007,2020,993,Africa
813,Đồng Dương Temple,900,1000,995,Southeast Asia
814,British Isles VI: Christian Roman Britain,380,500,992,Europe
815,British Isles VII: Christian Roman Britain,380,500,992,Europe
816,British Paganism.,-500,350,992,Europe
817,Early Medieval British Christianity,350,650,992,Europe
818,"West Bengal, India",-300,600,996,South Asia
819,"West Bengal, India",600,1200,996,South Asia
820,"West Bengal, India",-1200,-300,996,South Asia
821,"West Bengal, India",1200,1800,996,South Asia
822,"West Bengal, India",1800,1950,996,South Asia
823,"West Bengal, India",1950,2020,996,South Asia
824,"Central Macedonia, Greece: Eastern Orthodoxy",1260,1302,997,Europe
825,"Central Macedonia, Greece: Eastern Orthodoxy",1530,1912,997,Europe
826,"The Church of Christ, Scientist",1866,2020,1940,Europe
827,"Central Macedonia, Greece: Eastern Orthodoxy",1913,2017,997,Europe
828,Italy: The Franciscan Order,1209,1312,991,Europe
829,Italy: The Jesuit Order,1540,2017,991,Europe
831,Mỹ Sơn Sanctuary,500,1400,1000,Southeast Asia
832,Temple of Prey Angkor Knung,700,2020,1001,Southeast Asia
833,Dobu,1870,1895,1002,South America
834,The Plum Village Sangha of Thich Nhat Hanh,1982,2020,1003,Southeast Asia
835,British Isles: Pre-Roman,-500,43,992,Europe
836,British Isles: Romano-British,43,500,992,Europe
838,Phnom Oudong: A Sacred Mountain of Pre-colonial Khmer Royal Cities,1600,2020,1007,Southeast Asia
839,19th century German Protestantism,1788,1914,1008,Europe
841,Sa skya,1073,2020,1010,South Asia
842,American Evangelicalism,1730,2020,1011,North America
843,Bnay Qyāmā and Bnāt Qyāmā,300,900,1012,Southwest Asia
845,Sо̄tо̄ Mission of San Francisco—Sо̄kо̄ji,1934,2020,1014,North America
846,Xuanzang's Yogācāra Tradition,645,696,1015,East Asia
848,Sadducees,-200,70,485,Southwest Asia
849,"""Gaiwiio Religion,"" ""Longhouse Religion,"" or ""The Way of Handsome Lake"" of the Seneca Tribe",1750,1850,1016,North America
850,Pre-Christian Religion / Paganism in Gaul,-600,-51,1017,Europe
851,Sikhism in the United States,1899,2020,1018,North America
852,Pre-Christian Religion / Paganism in Ireland,-500,900,1019,Europe
853,Pre-Christian Religion / Paganism in Northern Britain (Pictland / Scotland),-500,900,1020,Europe
854,pre-Christian Irish,-400,900,554,Europe
855,Middle-Class Migrant Muslims in the UAE,1900,2020,1021,Southwest Asia
857,Wesleyanism,1738,2020,1097,Africa
858,"The New Prophecy or ""Montanism""",165,550,1024,Europe
859,Valentinians,135,400,6,Europe
860,Kimpa Vita,1704,2020,1025,Africa
862,Ilm-e-Khshnoom,1907,2020,1027,South Asia
