entry_id,violent_external,extra_ritual_group_markers,year_scaled,world_region,tip_name
1544,1,0,0.4437183244812595,Europe,IE.SLAVIC.OLD_CHURCH_SLAVONIC
1555,1,1,0.7909668007491697,Southwest Asia,AA.SEMITIC.STANDARD_ARABIC
1570,0,1,0.7259737704316463,South Asia,IE.GERMANIC.ENGLISH
1574,0,0,-2.895066490116079,Southwest Asia,AA.SEMITIC.AKKADIAN
1619,1,0,0.0760434672564135,Europe,AA.SEMITIC.AKKADIAN
1621,1,0,0.5402793980958656,Europe,AA.SEMITIC.AKKADIAN
1626,0,0,-1.7809002561013945,Europe,IE.GREEK.GREEK_ANCIENT
1627,0,0,0.7983945756426009,North America,ST.CHINESE.MANDARIN
1636,0,0,-0.2823466713516434,Europe,IE.GREEK.GREEK_ANCIENT
1653,1,0,-0.721513861925765,Europe,IE.GERMANIC.GOTHIC
1654,1,0,0.8011799912276376,Africa,AA.SEMITIC.STANDARD_ARABIC
1667,0,0,0.6795501773477012,Africa,IE.ROMANCE.FRENCH
1677,1,0,-2.570101338528463,Southwest Asia,AA.SEMITIC.AKKADIAN
1689,0,1,0.3694405755469472,Southwest Asia,AA.SEMITIC.SYRIAN_ARABIC
1690,1,0,-0.2554209873629551,Europe,IE.GREEK.GREEK_ANCIENT
1694,1,0,-0.0595134245487064,Europe,IE.GREEK.GREEK_ANCIENT
1697,1,0,-0.6203104290027645,Europe,IE.GREEK.GREEK_ANCIENT
1701,1,1,0.0017657183221012,Europe,IE.ROMANCE.FRENCH
1708,1,0,-0.3807646886896072,Southwest Asia,AA.SEMITIC.ARABIC_GULF_SPOKEN
1734,0,0,-2.523677745444518,South America,
1737,1,1,-0.4244028661885157,Southwest Asia,IE.IRANIAN.EASTERN_FARSI
1759,0,1,0.071401107948019,Africa,AA.SEMITIC.STANDARD_ARABIC
1776,0,0,0.7083328050597472,Africa,AA.SEMITIC.TUNISIAN_ARABIC_MAGHRIB
1777,0,0,0.7083328050597472,Africa,AA.SEMITIC.TUNISIAN_ARABIC_MAGHRIB
1780,0,0,0.7083328050597472,Africa,AA.SEMITIC.TUNISIAN_ARABIC_MAGHRIB
