entry_id,violent_external,hair,year_scaled,world_region,tip_name,ID,Glottocode
2210,0,1,0.8011799912276376,Africa,NC.DEFOID.OKA,OKA,yoru1245
2228,1,0,0.7928237444725275,Africa,IE.GERMANIC.ENGLISH,ENGLISH,stan1293
2238,0,0,0.5402793980958656,Africa,An.OCEANIC.TAPE,TAPE,
2241,1,1,-1.7344766630174493,Europe,IE.ROMANCE.LATIN,LATIN,lati1261
2244,1,1,0.0797573547031291,Europe,UA.AZTECAN.NAHUATL_CUATLAMAYAN_ANTONIO_SANTOS,NAHUATL_CUATLAMAYAN_ANTONIO_SANTOS,
2245,1,0,-0.4327591129436258,Europe,UA.AZTECAN.NAHUATL_LA_REFORMA_TEPEHUACAN_DE_GUERRERO,NAHUATL_LA_REFORMA_TEPEHUACAN_DE_GUERRERO,
2246,1,0,-0.2777043120432488,Africa,UA.AZTECAN.NAHUATL_TLALNEPANTLA_TAMAZUNCHALE,NAHUATL_TLALNEPANTLA_TAMAZUNCHALE,
2247,1,1,-0.4374014722520203,Africa,AA.EGYPTIAN_COPTIC.LATE_EGYPTIAN,LATE_EGYPTIAN,
2248,0,0,0.4762148396400212,Africa,An.NORTHWEST_FORMOSAN.PAZEH,PAZEH,
2256,0,0,0.5402793980958656,Africa,UA.AZTECAN.NAHUATL_IXTACAMAXTITLAN,NAHUATL_IXTACAMAXTITLAN,
2266,0,0,-1.5682801997769256,East Asia,ST.CHINESE.OLD_CHINESE,OLD_CHINESE,oldc1244
2271,1,0,0.7853959695790962,Africa,NC.DEFOID.OKA,OKA,yoru1245
2273,0,0,0.1605344066691938,East Asia,An.OCEANIC.TAPE,TAPE,
2274,0,0,0.7445432076652244,Africa,NC.DEFOID.YORUBA,YORUBA,yoru1245
2278,0,0,0.5402793980958656,Africa,UA.AZTECAN.NAHUATL_ACAXOCHITLAN,NAHUATL_ACAXOCHITLAN,
2279,0,0,0.7166890518148573,Africa,Aus.PAMA_NYUNGAN.BIGAMBAL,BIGAMBAL,
