entry_id,entry_name,answer_value,world_region_simple
732,Marquesans,1,Oceania-Australia
729,Kikuyu,1,Africa
728,Pentecost,1,Oceania-Australia
727,Raglai,1,Asia
726,Early Śramaṇas,1,Asia
724,Aweikoma,1,Americas
723,Trumai,1,Americas
722,Gros Ventre,1,Americas
721,Semang,1,Asia
719,Hinduism in Trinidad,1,Americas
717,Igbo,1,Africa
714,Tamil Śaiva Bhakti,1,Asia
713,Northern Saulteaux,1,Americas
712,Huichol,1,Americas
711,Kwoma,1,Oceania-Australia
710,Hidatsa,1,Americas
694,Eyak,1,Americas
691,Fur,1,Africa
690,Ahl-e-Sunnat wa Jamaat,1,Asia
689,Lengua,1,Americas
688,Darul Uloom Deoband,1,Asia
686,Popoluca,1,Americas
685,Badjau,1,Asia
684,Huron,1,Americas
682,Lakher,1,Asia
681,Sargonic Empire,1,Asia
680,Gujarati Mata Worshipers,1,Asia
679,Santal,1,Asia
677,Yapese,1,Oceania-Australia
676,"The Order of the Holy Trinity for the Redemption of Captives, 1198-1500",1,Europe
675,Chukchee,1,Europe
674,Aymara,1,Americas
673,Pawnee,1,Americas
671,Mbau Fijians,1,Oceania-Australia
669,Orokaiva,1,Oceania-Australia
667,Ainu,1,Asia
666,Siuai,1,Oceania-Australia
662,Goajiro,1,Americas
661,Congregation of Savigny,1,Europe
660,Iban,1,Asia
658,Mapuche,1,Americas
657,Trukese,1,Americas
655,Siriono,1,Americas
654,12th-13th c Cistercians,1,Europe
652,Tiwi,1,Oceania-Australia
651,Kapauku,1,Asia
650,Manus,1,Oceania-Australia
649,"Worshippers at the Chidambaram Nataraja Temple, Modern Period",1,Asia
648,Haida,1,Americas
647,Havasupai,1,Americas
645,"Meo Muslim, Mev, Mewati Muslim",1,Asia
639,Chinese Esoteric Buddhism (Tang Tantrism),1,Asia
638,Klamath,1,Americas
637,Yahgan,1,Americas
636,Balinese Śaiva priests (pedanda siwa),1,Asia
635,Ifugao,1,Asia
634,Classical Daoism,1,Asia
633,Mādhva,1,Asia
632,Local Religion at Selinous,1,Europe
631,Cayapa,1,Americas
630,Aranda,1,Oceania-Australia
629,Newar Buddhists,1,Asia
627,Tikopia,1,Europe
